Date,Adj Close (LQD),Ret LQD (%),Adj Close (SPY),Ret SPY (%)
2014/1/1,97.157532,,160.662384,
2014/2/1,97.975952,0.842363925,167.975037,4.551565101
2014/3/1,97.951523,-0.024933669,168.624268,0.386504454
2014/4/1,99.257484,1.333272786,170.545532,1.139375739
2014/5/1,100.759964,1.51371961,174.503281,2.320640684
2014/6/1,100.775139,0.015060545,177.256516,1.577755435
2014/7/1,100.458763,-0.313942509,175.712265,-0.871195618
2014/8/1,102.462547,1.99463336,182.646484,3.946348879
2014/9/1,100.745316,-1.675959705,179.28862,-1.838449844
2014/10/1,101.98613,1.231634432,184.368958,2.833608737
2014/11/1,102.918633,0.91434296,189.433945,2.747201619
2014/12/1,102.623947,-0.286329104,187.916245,-0.801176368
2015/1/1,107.062386,4.324954487,183.354767,-2.427399504
2015/2/1,105.256241,-1.68700238,193.660187,5.620481086
2015/3/1,105.463799,0.197193058,189.771545,-2.00797183
2015/4/1,104.21022,-1.188634405,192.492935,1.434034802
2015/5/1,103.037766,-1.125085428,194.967712,1.285645626
2015/6/1,101.094414,-1.886057972,190.119812,-2.48651428
2015/7/1,101.928047,0.824608371,195.276169,2.712161845
2015/8/1,101.086563,-0.825566686,184.800201,-5.364693528
2015/9/1,102.281143,1.181739654,177.776016,-3.800961775
2015/10/1,102.871284,0.576979278,194.836914,9.59685023
2015/11/1,102.71624,-0.150716501,194.65036,-0.095748796
2015/12/1,101.320389,-1.358938956,190.154633,-2.309642273
2016/1/1,102.020241,0.690731655,181.762436,-4.413353947
2016/2/1,102.788857,0.753395593,181.612305,-0.082597375
2016/3/1,106.508568,3.618788173,192.834076,6.178970637
2016/4/1,108.177223,1.566686166,194.592209,0.911733567
2016/5/1,107.63311,-0.502982962,197.902527,1.701156494
2016/6/1,110.952591,3.084070506,197.562943,-0.171591543
2016/7/1,112.39711,1.301924531,205.833664,4.186372644
2016/8/1,112.610603,0.189945275,206.080124,0.119737459
2016/9/1,112.257385,-0.313663181,205.056274,-0.496821324
2016/10/1,110.537788,-1.531834186,202.519165,-1.237274505
2016/11/1,107.03466,-3.169167814,209.979645,3.683839009
2016/12/1,107.629433,0.555682617,212.980957,1.429334734
2017/1/1,108.374237,0.692007734,218.069916,2.38939625
2017/2/1,109.510147,1.04813656,226.638229,3.929158665
2017/3/1,109.185249,-0.29668301,225.938583,-0.308706083
2017/4/1,110.484406,1.189864942,229.173965,1.431974104
2017/5/1,111.956299,1.33221787,232.408264,1.411285527
2017/6/1,112.502808,0.488144932,232.754837,0.149122494
2017/7/1,113.360847,0.762682297,238.697281,2.553091517
2017/8/1,114.131912,0.680186343,239.393738,0.291774166
2017/9/1,114.074799,-0.050041219,243.011368,1.51116317
2017/10/1,114.290848,0.1893924,249.972122,2.864373818
2017/11/1,113.811012,-0.419837641,257.612762,3.056596847
2017/12/1,115.299011,1.307429724,259.411102,0.69807877
2018/1/1,114.431702,-0.75222588,275.432007,6.175874847
2018/2/1,111.572571,-2.498547999,265.417175,-3.636045102
2018/3/1,112.177452,0.542141312,257.112183,-3.129033379
2018/4/1,110.415039,-1.571093806,259.476074,0.919400618
2018/5/1,110.992409,0.52290884,265.783661,2.430893493
2018/6/1,110.423561,-0.512510725,266.117218,0.125499438
2018/7/1,111.918388,1.35372106,277.215149,4.170316781
2018/8/1,111.946098,0.024759113,286.063843,3.19199511
2018/9/1,111.782753,-0.145913974,286.467865,0.141234906
2018/10/1,109.486748,-2.053988597,267.878876,-6.489031152
2018/11/1,109.069618,-0.380986747,272.847839,1.854929017
2018/12/1,110.764641,1.554074389,247.379379,-9.334308856
